y:Bottomhole Pressure,flow,u:Valve
0.1166,1.8507,0.2325
0.1159,1.8502,0.2325
0.1152,1.8501,0.2325
0.1146,1.8503,0.2325
0.1140,1.8508,0.2325
0.1136,1.8516,0.2325
0.1132,1.8527,0.2325
0.1128,1.8541,0.2325
0.1126,1.8556,0.2325
0.1124,1.8574,0.2175
0.1047,1.8616,0.2175
0.1044,1.8663,0.2175
0.1043,1.8713,0.2175
0.1043,1.8765,0.2175
0.1046,1.8820,0.2175
0.1052,1.8877,0.2175
0.1058,1.8933,0.2175
0.1065,1.8987,0.2175
0.1072,1.9039,0.2175
0.1079,1.9089,0.2175
0.1086,1.9136,0.2175
0.1093,1.9179,0.2175
0.1104,1.9225,0.2175
0.1116,1.9269,0.2175
0.1130,1.9310,0.2175
0.1138,1.9339,0.2175
0.1151,1.9370,0.2175
0.1163,1.9396,0.2175
0.1176,1.9418,0.2175
0.1188,1.9435,0.2175
0.1200,1.9446,0.2175
0.1212,1.9453,0.2175
0.1222,1.9454,0.2175
0.1233,1.9450,0.2175
0.1242,1.9441,0.2175
0.1250,1.9427,0.2175
0.1257,1.9408,0.2175
0.1263,1.9384,0.2175
0.1268,1.9357,0.2175
0.1271,1.9326,0.2175
0.1273,1.9291,0.2175
0.1274,1.9253,0.2175
0.1273,1.9214,0.2175
0.1272,1.9172,0.2175
0.1268,1.9130,0.2175
0.1264,1.9087,0.2175
0.1259,1.9044,0.2175
0.1252,1.9001,0.2175
0.1245,1.8960,0.2175
0.1237,1.8921,0.2175
0.1229,1.8884,0.2175
0.1219,1.8850,0.2325
0.1296,1.8790,0.2325
0.1287,1.8730,0.2325
0.1276,1.8672,0.2325
0.1264,1.8617,0.2325
0.1251,1.8565,0.2325
0.1237,1.8518,0.2325
0.1222,1.8476,0.2325
0.1207,1.8439,0.2325
0.1192,1.8408,0.2325
0.1178,1.8384,0.2325
0.1164,1.8367,0.2325
0.1150,1.8356,0.2325
0.1138,1.8351,0.2325
0.1126,1.8353,0.2325
0.1116,1.8361,0.2325
0.1107,1.8374,0.2325
0.1099,1.8392,0.2325
0.1093,1.8415,0.2325
0.1088,1.8442,0.2325
0.1085,1.8473,0.2325
0.1083,1.8506,0.2325
0.1082,1.8542,0.2325
0.1083,1.8579,0.2325
0.1085,1.8617,0.2325
0.1088,1.8656,0.2325
0.1093,1.8695,0.2325
0.1098,1.8733,0.2175
0.1039,1.8805,0.2175
0.1046,1.8866,0.2175
0.1053,1.8926,0.2175
0.1061,1.8984,0.2175
0.1069,1.9038,0.2175
0.1077,1.9090,0.2175
0.1085,1.9138,0.2175
0.1093,1.9182,0.2175
0.1100,1.9223,0.2175
0.1106,1.9261,0.2175
0.1112,1.9296,0.2175
0.1125,1.9336,0.2175
0.1138,1.9373,0.2175
0.1151,1.9406,0.2175
0.1164,1.9433,0.2175
0.1178,1.9456,0.2175
0.1191,1.9473,0.2175
0.1204,1.9485,0.2175
0.1216,1.9491,0.2175
0.1228,1.9492,0.2175
0.1238,1.9487,0.2175
0.1248,1.9476,0.2175
0.1257,1.9460,0.2175
0.1264,1.9440,0.2175
0.1271,1.9414,0.2175
0.1276,1.9384,0.2175
0.1279,1.9350,0.2175
0.1281,1.9312,0.2325
0.1373,1.9241,0.2325
0.1374,1.9164,0.2325
0.1371,1.9082,0.2325
0.1365,1.8997,0.2325
0.1357,1.8910,0.2325
0.1345,1.8823,0.2325
0.1331,1.8737,0.2325
0.1314,1.8653,0.2325
0.1296,1.8574,0.2325
0.1276,1.8501,0.2325
0.1255,1.8434,0.2325
0.1233,1.8376,0.2325
0.1212,1.8326,0.2325
0.1190,1.8286,0.2325
0.1169,1.8255,0.2325
0.1150,1.8234,0.2325
0.1131,1.8223,0.2325
0.1114,1.8221,0.2325
0.1099,1.8228,0.2325
0.1085,1.8244,0.2325
0.1073,1.8267,0.2325
0.1064,1.8296,0.2325
0.1056,1.8332,0.2325
0.1050,1.8373,0.2325
0.1047,1.8418,0.2325
0.1045,1.8466,0.2325
0.1045,1.8517,0.2325
0.1048,1.8571,0.2325
0.1053,1.8627,0.2325
0.1059,1.8681,0.2325
0.1067,1.8734,0.2325
0.1074,1.8785,0.2325
0.1082,1.8833,0.2325
0.1091,1.8879,0.2325
0.1102,1.8925,0.2175
0.1047,1.8999,0.2175
0.1060,1.9066,0.2175
0.1073,1.9126,0.2175
0.1084,1.9180,0.2175
0.1094,1.9228,0.2175
0.1102,1.9271,0.2175
0.1110,1.9310,0.2175
0.1117,1.9344,0.2175
0.1132,1.9386,0.2175
0.1144,1.9420,0.2175
0.1162,1.9458,0.2175
0.1177,1.9485,0.2175
0.1197,1.9514,0.2175
0.1200,1.9511,0.2175
0.1211,1.9517,0.2175
0.1223,1.9521,0.2175
0.1235,1.9519,0.2175
0.1246,1.9511,0.2175
0.1256,1.9498,0.2325
0.1356,1.9450,0.2325
0.1366,1.9393,0.2325
0.1373,1.9329,0.2325
0.1378,1.9257,0.2325
0.1378,1.9178,0.2325
0.1376,1.9095,0.2325
0.1370,1.9008,0.2325
0.1361,1.8919,0.2325
0.1349,1.8829,0.2325
0.1334,1.8741,0.2325
0.1317,1.8655,0.2325
0.1299,1.8574,0.2175
0.1194,1.8530,0.2175
0.1174,1.8494,0.2175
0.1155,1.8468,0.2175
0.1137,1.8452,0.2175
0.1121,1.8445,0.2175
0.1106,1.8447,0.2175
0.1092,1.8457,0.2175
0.1080,1.8474,0.2175
0.1070,1.8499,0.2175
0.1061,1.8530,0.2175
0.1054,1.8566,0.2175
0.1049,1.8607,0.2175
0.1046,1.8652,0.2175
0.1044,1.8701,0.2175
0.1044,1.8752,0.2175
0.1046,1.8806,0.2175
0.1051,1.8862,0.2175
0.1056,1.8917,0.2175
